Material,Type,Quantity,Location,Notes
"1,2-Dichloroethane",New,4,New Site,
Acetic Acid,New,16,New Site,
Acetone,New,8,New Site,
Acetonitrile,New,4,Old Site,
Acetonitrile,New,2,Old Site,
Acetonitrile,New,44,East Row,Brenntag
Acetonitrile,New,36,East Row,"ICC (24), Oqema/Imperial (12), all v. good quality"
Butyl Acetate,New,2,East Row,
Carbon Disulfide,New,21,Old Site,
Caustic Soda,New,1,Old Site,
Chlorobenzene,New,1,Central,
Chloroform,New,11,New Site,
Cyclohexane,New,16,New Site,South
Dichloromethane,New,30,New Site,"1 in Amenities, 29 South area"
Diethyl Ether,New,8,Old Site,
Dimethylformamide,New,2,New Site,Amenities
Ethanol 96%,New,2,"New Site, Lab",1 in lab has 178.5lt.
Ethyl Acetate,New,6,East Row,
Fuming Sulfuric Acid,New,2,Old Site,
Heptane 99%,New,4,New Site,
Hexane 99%,New,54,New Site,
Isobutanol,New,1,North Row,100Lt volume
Isohexane,New,5,South Row,
Isopentane,New,2,Old Site,
Isopropanol,New,13,New Site,
Methanol,New,14,North Row,
Methyl Acetate,New,1,New Site,
Methyl Cyclohexane,New,1,Old Site,
Methyl Ethyl Ketone,New,2,Old Site,
Methyl Ethyl Ketone,New,1,New Site,
Methyl Ethyl Ketone,New,8,New Site,
Methyl Formate,New,2,Old Site,Good quality
Methyl tert-Butyl Ether,New,10,Old Site,First few rows in bund
Monoethylene Glycol,New,3,South Row,2 and 1 separated along the row
n-Butanol,New,7,North Row,
o-Dichlorobenzene,New,6,South Row,"o-Dichlorobenzol on label. We called it “-ene”, check it’s the same thing"
Pentane,New,7,CS2 Lab,
Pentane,New,8,Old Site,Good quality
Pentane,New,12,New Site,WGT Group
Perchloroethylene,New,2,New Site,
Pyridine,New,1,Main Lab,To be distilled this week
Pyridine,New,47,East Row,
tert-Butanol,New,1,West Row,
Tetrahydrofuran,New,19,Old Site,
Toluene,New,2,New Site,
Trimethylpentane,New,22,North Row,NE Corner
White Spirit,New,3,East Row,2.5 Drums - one is half-full
"1,4-Dioxane",Repro,7,North Row,Plus 2 empty drums
2-Butanol,Repro,1,Central,Top of bund
2-Methyl-2-Butane,Repro,1,Central,
2-Methyl-2-Propanol,Repro,1,Central,Not listed in DB table
Acetic Anhydride,Repro,2,Central,
Acetone,Repro,2,Old Site,"One of them is 99.8 purity, redistilled"
Acetonitrile,Repro,1,Old Site,Currently being distilled in Still C
Acetonitrile,Repro,11,Southeast Corner,Poor quality
Butyl Acetate,Repro,1,East Row,
Carbon Disulfide,Repro,2,Central,"One in north half of bund frame, one standing in front"
Chloroform,Repro,3,New Site,
Colidine,Repro,2,Central,
Cyclohexane,Repro,3,Old Site,
Cyclohexanone,Repro,1,New Site,
Decane,Repro,2,East Row,One of them is 70 litres
Dichloromethane,Repro,11,New Site,
Diethyl Ether,Repro,1,Old Site,
Dimethylacetamide,Repro,4.0,New Site,One is half full
Dimethylformamide,Repro,4,New Site,
Dimethylsulfoxide,Repro,3,North,
Ethanol 96%,Repro,1,"New Site, Lab",1 in lab has 178.5lt.
Ethyl Acetate,Repro,5,East Row,
Ethyl Benzene,Repro,1,Central,
Fuming Sulfuric Acid,Repro,1.0,West yard entry,60 litres; next to 2 empty drums
Heptane,Repro,4,Main Lab,
Heptane 95%,Repro,23,North Row,Some general Heptanes mixed into these; old drums
Heptane 95%,Repro,3,Outside Main Lab,In a pallet directly in front of main lab entry
Heptane 99%,Repro,2,New Site,
Hexane,Repro,1,Old Site,Inside Still E
Hexane,Repro,1,Amenities,
Hexane 99%,Repro,2,New Site,One of the two has only 90L volume
Isopropanol,Repro,9,New Site,
Lutidine,Repro,1,Central,
Methanol,Repro,1,Main Lab,
Methanol,Repro,5,East Row,
Methyl Cyclohexanone,Repro,1,Central,"Possibly something else, just a vague label"
Methyl Ethyl Ketone,Repro,1,North Row,NE Corner on its own near Hexane drums. Needs to be combined with OS MEK drums.
Methyl Isobutyl Ketone,Repro,7,New Site,
Methyl tert-Butyl Ether,Repro,1,Old Site,
n-Butanol,Repro,17,North Row,
n-Methyl-2-Pyrrolidine,Repro,8,New Site,NMP acronym
n-Propanol,Repro,3,North Row,
Nonane,Repro,2,Central,
Octanol,Repro,1,Central,
Pentane,Repro,16,North Row,Mainly various pet spirits - check again to confirm
Petroleum Ether,Repro,1,Central,100/140 Operating Range
Phenol,Repro,2,Central,Drum has ‘PHENOL’ printed on it. May not be full. Check both.
Piperidine,Repro,1,Central,
Propionic Acid,Repro,2,Central,
Pyridine,Repro,21,East Row,
Tetrahydrofuran,Repro,3,Old Site,One next to Aceto drums in OS; other adjacent to unknown drum OS
Tetrahydrofuran,Repro,1,New Site,
Toluene,Repro,1,New Site,
Triethylamine,Repro,1,Central,
Trimethylpentane,Repro,5,New Site,One needs to be transferred into newer drum (container)
Unknown,Repro,2,Central,Need to be opened to test solvent for identification
